Phone timestamp;HR [bpm]
2022-05-09T22:34:49.662;111
2022-05-09T22:34:50.662;111
2022-05-09T22:34:51.664;110
2022-05-09T22:34:52.664;110
2022-05-09T22:34:53.664;110
2022-05-09T22:34:54.663;110
2022-05-09T22:34:55.713;110
2022-05-09T22:34:56.664;110
2022-05-09T22:34:57.663;110
2022-05-09T22:34:58.664;109
2022-05-09T22:34:59.663;109
2022-05-09T22:35:00.662;109
2022-05-09T22:35:01.662;109
2022-05-09T22:35:02.665;110
2022-05-09T22:35:03.663;110
2022-05-09T22:35:04.661;111
2022-05-09T22:35:05.663;111
2022-05-09T22:35:06.661;112
2022-05-09T22:35:07.678;113
2022-05-09T22:35:08.664;113
2022-05-09T22:35:09.663;114
2022-05-09T22:35:10.662;113
2022-05-09T22:35:11.664;112
2022-05-09T22:35:12.712;111
2022-05-09T22:35:13.664;110
2022-05-09T22:35:14.661;110
2022-05-09T22:35:15.665;110
2022-05-09T22:35:16.662;111
2022-05-09T22:35:17.713;112
2022-05-09T22:35:18.689;113
2022-05-09T22:35:19.662;114
2022-05-09T22:35:20.663;114
2022-05-09T22:35:21.664;114
2022-05-09T22:35:22.662;113
2022-05-09T22:35:23.661;113
2022-05-09T22:35:24.663;112
2022-05-09T22:35:25.662;111
2022-05-09T22:35:26.664;110
2022-05-09T22:35:27.665;109
2022-05-09T22:35:28.713;108
2022-05-09T22:35:29.665;108
2022-05-09T22:35:30.664;108
2022-05-09T22:35:31.662;109
2022-05-09T22:35:32.662;110
2022-05-09T22:35:33.662;111
2022-05-09T22:35:34.662;111
2022-05-09T22:35:35.664;111
2022-05-09T22:35:36.664;110
2022-05-09T22:35:37.662;110
2022-05-09T22:35:38.664;109
2022-05-09T22:35:39.661;109
2022-05-09T22:35:40.664;109
2022-05-09T22:35:41.663;110
2022-05-09T22:35:42.685;110
2022-05-09T22:35:43.662;110
2022-05-09T22:35:44.664;110
2022-05-09T22:35:45.735;110
2022-05-09T22:35:46.661;110
2022-05-09T22:35:47.664;110
2022-05-09T22:35:48.664;110
2022-05-09T22:35:49.662;110
2022-05-09T22:35:50.662;110
2022-05-09T22:35:51.698;110
2022-05-09T22:35:52.662;110
2022-05-09T22:35:53.665;111
2022-05-09T22:35:54.663;110
2022-05-09T22:35:55.662;111
2022-05-09T22:35:56.693;111
2022-05-09T22:35:57.663;111
2022-05-09T22:35:58.662;111
2022-05-09T22:35:59.664;112
2022-05-09T22:36:00.662;111
2022-05-09T22:36:01.767;111
2022-05-09T22:36:02.666;111
2022-05-09T22:36:03.664;111
2022-05-09T22:36:04.662;110
2022-05-09T22:36:05.666;110
2022-05-09T22:36:06.664;110
2022-05-09T22:36:07.739;111
2022-05-09T22:36:08.664;111
2022-05-09T22:36:09.664;112
2022-05-09T22:36:10.663;113
2022-05-09T22:36:11.664;113
2022-05-09T22:36:12.661;113
2022-05-09T22:36:13.664;114
2022-05-09T22:36:14.685;114
2022-05-09T22:36:15.663;113
2022-05-09T22:36:16.713;113
2022-05-09T22:36:17.661;113
2022-05-09T22:36:18.714;113
2022-05-09T22:36:19.664;114
2022-05-09T22:36:20.664;114
2022-05-09T22:36:21.662;115
2022-05-09T22:36:22.663;116
2022-05-09T22:36:23.687;116
2022-05-09T22:36:24.664;117
2022-05-09T22:36:25.662;117
2022-05-09T22:36:26.661;116
2022-05-09T22:36:27.664;116
2022-05-09T22:36:28.662;115
2022-05-09T22:36:29.666;114
2022-05-09T22:36:30.664;113
2022-05-09T22:36:31.664;112
2022-05-09T22:36:32.664;111
2022-05-09T22:36:33.662;112
2022-05-09T22:36:34.713;112
2022-05-09T22:36:35.664;112
2022-05-09T22:36:36.664;113
2022-05-09T22:36:37.666;113
2022-05-09T22:36:38.663;113
2022-05-09T22:36:39.662;113
2022-05-09T22:36:40.664;112
2022-05-09T22:36:41.663;112
2022-05-09T22:36:42.666;112
2022-05-09T22:36:43.664;111
2022-05-09T22:36:44.664;111
2022-05-09T22:36:45.677;111
2022-05-09T22:36:46.662;111
2022-05-09T22:36:47.664;111
2022-05-09T22:36:48.664;111
2022-05-09T22:36:49.664;111
2022-05-09T22:36:50.662;111
2022-05-09T22:36:51.715;111
2022-05-09T22:36:52.662;111
2022-05-09T22:36:53.664;111
2022-05-09T22:36:54.663;111
2022-05-09T22:36:55.697;111
2022-05-09T22:36:56.693;111
2022-05-09T22:36:57.664;111
2022-05-09T22:36:58.663;111
2022-05-09T22:36:59.664;111
2022-05-09T22:37:00.716;111
2022-05-09T22:37:01.663;111
2022-05-09T22:37:02.665;111
2022-05-09T22:37:03.663;111
2022-05-09T22:37:04.663;110
2022-05-09T22:37:05.664;110
2022-05-09T22:37:06.662;109
2022-05-09T22:37:07.665;109
2022-05-09T22:37:08.663;109
2022-05-09T22:37:09.662;110
2022-05-09T22:37:10.663;111
2022-05-09T22:37:11.664;112
2022-05-09T22:37:12.662;112
2022-05-09T22:37:13.664;113
2022-05-09T22:37:14.664;112
2022-05-09T22:37:15.663;113
2022-05-09T22:37:16.664;112
2022-05-09T22:37:17.662;112
2022-05-09T22:37:18.662;112
2022-05-09T22:37:19.663;112
2022-05-09T22:37:20.712;112
2022-05-09T22:37:21.666;112
2022-05-09T22:37:22.664;112
2022-05-09T22:37:23.684;112
2022-05-09T22:37:24.715;112
2022-05-09T22:37:25.664;111
2022-05-09T22:37:26.663;111
2022-05-09T22:37:27.713;112
2022-05-09T22:37:28.662;112
2022-05-09T22:37:29.664;112
2022-05-09T22:37:30.663;112
2022-05-09T22:37:31.664;112
2022-05-09T22:37:32.662;113
2022-05-09T22:37:33.664;113
2022-05-09T22:37:34.680;113
2022-05-09T22:37:35.661;113
2022-05-09T22:37:36.662;113
2022-05-09T22:37:37.664;113
2022-05-09T22:37:38.663;113
2022-05-09T22:37:39.661;113
2022-05-09T22:37:40.664;113
2022-05-09T22:37:41.661;112
2022-05-09T22:37:42.664;112
2022-05-09T22:37:43.664;112
2022-05-09T22:37:44.664;113
2022-05-09T22:37:45.694;113
2022-05-09T22:37:46.693;113
2022-05-09T22:37:47.664;113
2022-05-09T22:37:48.664;113
2022-05-09T22:37:49.662;113
2022-05-09T22:37:50.661;113
2022-05-09T22:37:51.664;113
2022-05-09T22:37:52.664;113
2022-05-09T22:37:53.661;113
2022-05-09T22:37:54.662;113
2022-05-09T22:37:55.662;113
2022-05-09T22:37:56.666;113
2022-05-09T22:37:57.715;113
2022-05-09T22:37:58.714;113
2022-05-09T22:37:59.714;113
2022-05-09T22:38:00.665;113
2022-05-09T22:38:01.662;113
2022-05-09T22:38:02.664;113
2022-05-09T22:38:03.664;113
2022-05-09T22:38:04.663;113
2022-05-09T22:38:05.664;113
2022-05-09T22:38:06.663;113
2022-05-09T22:38:07.665;112
2022-05-09T22:38:08.663;112
2022-05-09T22:38:09.695;112
2022-05-09T22:38:10.664;112
2022-05-09T22:38:11.664;112
2022-05-09T22:38:12.662;112
2022-05-09T22:38:13.664;112
2022-05-09T22:38:14.664;112
2022-05-09T22:38:15.662;112
2022-05-09T22:38:16.664;112
2022-05-09T22:38:17.679;112
2022-05-09T22:38:18.701;112
2022-05-09T22:38:19.663;112
2022-05-09T22:38:20.664;113
2022-05-09T22:38:21.669;113
2022-05-09T22:38:22.663;113
2022-05-09T22:38:23.691;113
2022-05-09T22:38:24.716;113
2022-05-09T22:38:25.664;113
2022-05-09T22:38:26.662;113
2022-05-09T22:38:27.663;113
2022-05-09T22:38:28.663;112
2022-05-09T22:38:29.665;112
2022-05-09T22:38:30.715;112
2022-05-09T22:38:31.664;112
2022-05-09T22:38:32.664;111
2022-05-09T22:38:33.665;111
2022-05-09T22:38:34.689;112
2022-05-09T22:38:35.664;111
2022-05-09T22:38:36.663;112
2022-05-09T22:38:37.666;112
2022-05-09T22:38:38.662;112
2022-05-09T22:38:39.689;111
2022-05-09T22:38:40.665;111
2022-05-09T22:38:41.686;111
2022-05-09T22:38:42.664;111
2022-05-09T22:38:43.663;111
2022-05-09T22:38:44.663;111
2022-05-09T22:38:45.690;111
2022-05-09T22:38:46.666;111
2022-05-09T22:38:47.714;111
2022-05-09T22:38:48.664;110
2022-05-09T22:38:49.713;110
2022-05-09T22:38:50.751;110
2022-05-09T22:38:51.666;110
2022-05-09T22:38:52.663;110
2022-05-09T22:38:53.664;110
2022-05-09T22:38:54.664;110
2022-05-09T22:38:55.666;110
2022-05-09T22:38:56.688;109
2022-05-09T22:38:57.664;109
2022-05-09T22:38:58.664;110
2022-05-09T22:38:59.663;110
2022-05-09T22:39:00.664;110
2022-05-09T22:39:01.661;110
2022-05-09T22:39:02.664;110
2022-05-09T22:39:03.711;110
2022-05-09T22:39:04.661;110
2022-05-09T22:39:05.664;110
2022-05-09T22:39:06.664;110
2022-05-09T22:39:07.680;110
2022-05-09T22:39:08.664;110
2022-05-09T22:39:09.663;111
2022-05-09T22:39:10.663;111
2022-05-09T22:39:11.664;111
2022-05-09T22:39:12.662;111
2022-05-09T22:39:13.663;111
2022-05-09T22:39:14.661;112
2022-05-09T22:39:15.664;112
2022-05-09T22:39:16.663;112
2022-05-09T22:39:17.664;113
2022-05-09T22:39:18.691;113
2022-05-09T22:39:19.662;113
2022-05-09T22:39:20.714;112
2022-05-09T22:39:21.664;112
2022-05-09T22:39:22.663;112
2022-05-09T22:39:23.689;112
2022-05-09T22:39:24.666;112
2022-05-09T22:39:25.664;112
2022-05-09T22:39:26.663;112
2022-05-09T22:39:27.684;112
2022-05-09T22:39:28.713;113
2022-05-09T22:39:29.687;113
2022-05-09T22:39:30.663;114
2022-05-09T22:39:31.664;115
2022-05-09T22:39:32.664;117
