Phone timestamp;RR-interval [ms]
2022-05-09T16:06:25.328;776
2022-05-09T16:06:26.104;774
2022-05-09T16:06:26.878;796
2022-05-09T16:06:27.674;813
2022-05-09T16:06:28.487;786
2022-05-09T16:06:29.273;791
2022-05-09T16:06:30.064;801
2022-05-09T16:06:30.865;803
2022-05-09T16:06:31.668;772
2022-05-09T16:06:32.440;796
2022-05-09T16:06:33.236;807
2022-05-09T16:06:34.043;775
2022-05-09T16:06:34.818;779
2022-05-09T16:06:35.597;787
2022-05-09T16:06:36.384;794
2022-05-09T16:06:37.178;765
2022-05-09T16:06:37.943;789
2022-05-09T16:06:38.732;810
2022-05-09T16:06:39.542;817
2022-05-09T16:06:40.359;785
2022-05-09T16:06:41.144;802
2022-05-09T16:06:41.946;799
2022-05-09T16:06:42.745;778
2022-05-09T16:06:43.523;768
2022-05-09T16:06:44.291;773
2022-05-09T16:06:45.064;759
2022-05-09T16:06:45.823;734
2022-05-09T16:06:46.557;757
2022-05-09T16:06:47.314;779
2022-05-09T16:06:48.093;761
2022-05-09T16:06:48.854;766
2022-05-09T16:06:49.620;782
2022-05-09T16:06:50.402;791
2022-05-09T16:06:51.193;751
2022-05-09T16:06:51.944;767
2022-05-09T16:06:52.711;761
2022-05-09T16:06:53.472;750
2022-05-09T16:06:54.222;735
2022-05-09T16:06:54.957;751
2022-05-09T16:06:55.708;767
2022-05-09T16:06:56.475;751
2022-05-09T16:06:57.226;761
2022-05-09T16:06:57.987;776
2022-05-09T16:06:58.763;780
2022-05-09T16:06:59.543;754
2022-05-09T16:07:00.297;777
2022-05-09T16:07:01.074;795
2022-05-09T16:07:01.869;778
2022-05-09T16:07:02.647;769
2022-05-09T16:07:03.416;786
2022-05-09T16:07:04.202;795
2022-05-09T16:07:04.997;769
2022-05-09T16:07:05.766;790
2022-05-09T16:07:06.556;799
2022-05-09T16:07:07.355;795
2022-05-09T16:07:08.150;776
2022-05-09T16:07:08.926;782
2022-05-09T16:07:09.708;783
2022-05-09T16:07:10.491;755
2022-05-09T16:07:11.246;767
2022-05-09T16:07:12.013;777
2022-05-09T16:07:12.790;788
2022-05-09T16:07:13.578;757
2022-05-09T16:07:14.335;767
2022-05-09T16:07:15.102;779
2022-05-09T16:07:15.881;793
2022-05-09T16:07:16.674;759
2022-05-09T16:07:17.433;773
2022-05-09T16:07:18.206;785
2022-05-09T16:07:18.991;788
2022-05-09T16:07:19.779;777
2022-05-09T16:07:20.556;796
2022-05-09T16:07:21.352;815
2022-05-09T16:07:22.167;813
2022-05-09T16:07:22.980;791
2022-05-09T16:07:23.771;802
2022-05-09T16:07:24.573;805
2022-05-09T16:07:25.378;781
2022-05-09T16:07:26.159;768
2022-05-09T16:07:26.927;777
2022-05-09T16:07:27.704;777
2022-05-09T16:07:28.481;773
2022-05-09T16:07:29.254;759
2022-05-09T16:07:30.013;786
2022-05-09T16:07:30.799;807
2022-05-09T16:07:31.606;817
2022-05-09T16:07:32.423;790
2022-05-09T16:07:33.213;806
2022-05-09T16:07:34.019;815
2022-05-09T16:07:34.834;822
2022-05-09T16:07:35.656;807
2022-05-09T16:07:36.463;775
2022-05-09T16:07:37.238;782
2022-05-09T16:07:38.020;788
2022-05-09T16:07:38.808;772
2022-05-09T16:07:39.580;752
2022-05-09T16:07:40.332;766
2022-05-09T16:07:41.098;775
2022-05-09T16:07:41.873;792
2022-05-09T16:07:42.665;758
2022-05-09T16:07:43.423;769
2022-05-09T16:07:44.192;789
2022-05-09T16:07:44.981;804
2022-05-09T16:07:45.785;789
2022-05-09T16:07:46.574;786
2022-05-09T16:07:47.360;805
2022-05-09T16:07:48.165;812
2022-05-09T16:07:48.977;819
2022-05-09T16:07:49.796;786
2022-05-09T16:07:50.582;783
2022-05-09T16:07:51.365;795
2022-05-09T16:07:52.160;796
2022-05-09T16:07:52.956;769
2022-05-09T16:07:53.725;767
2022-05-09T16:07:54.492;775
2022-05-09T16:07:55.267;784
2022-05-09T16:07:56.051;779
2022-05-09T16:07:56.830;753
2022-05-09T16:07:57.583;773
2022-05-09T16:07:58.356;788
2022-05-09T16:07:59.144;791
2022-05-09T16:07:59.935;749
2022-05-09T16:08:00.684;771
2022-05-09T16:08:01.455;790
2022-05-09T16:08:02.245;797
2022-05-09T16:08:03.042;760
2022-05-09T16:08:03.802;761
2022-05-09T16:08:04.563;769
2022-05-09T16:08:05.332;769
2022-05-09T16:08:06.101;729
2022-05-09T16:08:06.830;731
2022-05-09T16:08:07.561;741
2022-05-09T16:08:08.302;751
2022-05-09T16:08:09.053;732
2022-05-09T16:08:09.785;742
2022-05-09T16:08:10.527;757
2022-05-09T16:08:11.284;766
2022-05-09T16:08:12.050;750
2022-05-09T16:08:12.800;740
2022-05-09T16:08:13.540;753
2022-05-09T16:08:14.293;757
2022-05-09T16:08:15.050;743
2022-05-09T16:08:15.793;725
2022-05-09T16:08:16.518;733
2022-05-09T16:08:17.251;747
2022-05-09T16:08:17.998;756
2022-05-09T16:08:18.754;729
2022-05-09T16:08:19.483;742
2022-05-09T16:08:20.225;760
2022-05-09T16:08:20.985;763
2022-05-09T16:08:21.748;750
2022-05-09T16:08:22.498;747
2022-05-09T16:08:23.245;751
2022-05-09T16:08:23.996;775
2022-05-09T16:08:24.771;754
2022-05-09T16:08:25.525;733
2022-05-09T16:08:26.258;738
2022-05-09T16:08:26.996;751
2022-05-09T16:08:27.747;764
2022-05-09T16:08:28.511;744
2022-05-09T16:08:29.255;749
2022-05-09T16:08:30.004;768
2022-05-09T16:08:30.772;778
2022-05-09T16:08:31.550;778
2022-05-09T16:08:32.328;752
2022-05-09T16:08:33.080;763
2022-05-09T16:08:33.843;766
2022-05-09T16:08:34.609;779
2022-05-09T16:08:35.388;769
2022-05-09T16:08:36.157;756
2022-05-09T16:08:36.913;768
2022-05-09T16:08:37.681;771
2022-05-09T16:08:38.452;762
2022-05-09T16:08:39.214;741
2022-05-09T16:08:39.955;750
2022-05-09T16:08:40.705;762
2022-05-09T16:08:41.467;771
2022-05-09T16:08:42.238;753
2022-05-09T16:08:42.991;744
2022-05-09T16:08:43.735;761
2022-05-09T16:08:44.496;774
2022-05-09T16:08:45.270;790
2022-05-09T16:08:46.060;758
2022-05-09T16:08:46.818;751
2022-05-09T16:08:47.569;762
2022-05-09T16:08:48.331;765
